Gene	p_value
ENSMUSG00000053441	0.03718018266141465
ENSMUSG00000030249	0.00023974637530400377
ENSMUSG00000025592	0.024156462507003883
ENSMUSG00000091898	0.0001543900462909703
ENSMUSG00000026765	0.00010510858275612004
ENSMUSG00000041565	0.0026084323769737035
ENSMUSG00000048424	0.026015633901408534
ENSMUSG00000028341	0.0004112140647587014
ENSMUSG00000022514	5.891562071333401e-05
ENSMUSG00000001815	0.006987174423386047
ENSMUSG00000052133	0.031238988593768755
ENSMUSG00000042453	0.0076326516052381875
ENSMUSG00000039087	0.007354080836220255
ENSMUSG00000020733	0.00027077724233805206
ENSMUSG00000063600	0.001547055711789442
ENSMUSG00000016386	0.0005898320171339354
ENSMUSG00000024076	0.0015696876217617135
ENSMUSG00000018698	0.001640591961405266
ENSMUSG00000022505	0.0004438328707631099
ENSMUSG00000028464	0.0008020637790303507
ENSMUSG00000037868	0.010494373626808794
ENSMUSG00000091705	0.0023452551390832146
ENSMUSG00000049641	0.006611337176468954
ENSMUSG00000004085	7.3094239021818795e-06
ENSMUSG00000000263	0.037698490662399504
ENSMUSG00000026834	0.0023833672140944444
ENSMUSG00000053025	1.1626499245476526e-05
ENSMUSG00000030605	0.004694362901589777
ENSMUSG00000093472	0.0014148450315429897
ENSMUSG00000023886	0.0008804032929609614
ENSMUSG00000078952	0.011334698061835298
ENSMUSG00000033717	0.015194826442593153
ENSMUSG00000041301	1.7824132478135217e-06
ENSMUSG00000076617	0.015506836988695887
ENSMUSG00000026841	0.019480260035849555
ENSMUSG00000036523	0.027698946676468883
ENSMUSG00000025094	0.028277664656459676
ENSMUSG00000041731	0.04123275410442865
ENSMUSG00000056306	5.9610373016784e-05
ENSMUSG00000024526	0.033127486888134064
ENSMUSG00000022148	0.0004968011754227099
ENSMUSG00000005268	0.002251838505975526
ENSMUSG00000036036	0.0005199618063873397
ENSMUSG00000035021	0.013917664557265466
ENSMUSG00000024014	0.014193019533249722
ENSMUSG00000035637	0.04413697710601059
ENSMUSG00000102362	0.01286697438971043
ENSMUSG00000037593	0.0014824411327362481
ENSMUSG00000090063	0.005402707100969633
ENSMUSG00000044167	0.0032136927653346704
ENSMUSG00000074622	1.6956783271077736e-05
ENSMUSG00000068196	4.03645717256286e-06
ENSMUSG00000029086	0.0019621965950470054
ENSMUSG00000020396	0.0021035269014288943
ENSMUSG00000062077	0.005796164452029261
ENSMUSG00000027577	0.000712721320403332
ENSMUSG00000053129	0.00036005329168270836
ENSMUSG00000035528	0.010776693476104797
ENSMUSG00000084890	0.002593903607430816
ENSMUSG00000034361	0.034390374872390606
ENSMUSG00000070687	1.333603299605198e-05
ENSMUSG00000005148	1.081791993721216e-06
ENSMUSG00000026322	9.435212341193931e-05
ENSMUSG00000048349	0.01253283866950065
ENSMUSG00000026475	0.017048423711975506
ENSMUSG00000033581	0.004333042754199355
ENSMUSG00000033007	0.0005231643777115811
ENSMUSG00000056494	1.9795341253350257e-05
ENSMUSG00000031932	4.8253608623719294e-05
ENSMUSG00000036760	2.3771520734495417e-05
ENSMUSG00000032017	0.001508749693925233
ENSMUSG00000034185	2.326391526123689e-05
ENSMUSG00000059187	0.0005154678050624806
ENSMUSG00000067578	7.266049768358943e-05
ENSMUSG00000018470	0.0003062142533971896
ENSMUSG00000022860	2.9613573813307097e-05
ENSMUSG00000048387	1.8534168995938018e-05
ENSMUSG00000028031	4.505460449140924e-05
ENSMUSG00000026837	0.017333117357327676
ENSMUSG00000025927	0.00014966494398347205
ENSMUSG00000019828	0.00030051532813368787
ENSMUSG00000020140	0.01729189431810878
ENSMUSG00000057058	0.00013286758721814978
ENSMUSG00000024683	0.0008367439439845463
ENSMUSG00000031298	0.00010976951857609617
ENSMUSG00000054555	0.0006798546875868979
ENSMUSG00000097182	0.0013498397864152175
ENSMUSG00000064023	0.012387221374399328
ENSMUSG00000027168	0.03471949132274259
ENSMUSG00000062393	0.04864276769785922
ENSMUSG00000034810	0.02052454541815784
ENSMUSG00000063594	0.002231822366321283
ENSMUSG00000112117	0.021451093789230977
ENSMUSG00000026395	6.7209949341003405e-06
ENSMUSG00000046167	0.00012577391819033258
ENSMUSG00000053930	5.608427828648938e-05
ENSMUSG00000074274	0.0011762631299710063
ENSMUSG00000028661	0.005636811747590117
ENSMUSG00000051111	0.0005039813118913372
ENSMUSG00000038112	0.01273001087067856
ENSMUSG00000024601	0.023722670625249777
ENSMUSG00000022479	0.01935997510140394
ENSMUSG00000024553	0.004367620782798239
ENSMUSG00000031613	0.0026693730944980084
ENSMUSG00000030340	0.007411296357910255
